UTR5,UTR3,cds,Stop_codons,Start_codons,TSS,TSS_A,exon_stop,alternative_exon,constitutive_exon,internal_exon,long_exon,last_exon,last_exon_400bp,last_exon_sc400,intron,pos_UTR5,pos_UTR3,pos_cds,pos_exons,dist_sj_5_p2000,dist_sj_3_p2000,length_UTR3,length_UTR5,length_cds,length_gene_ex,length_gene_full,length_tx_exon,length_tx_full,clust_DRACH_f1000,clust_DRACH_f100,dist_DRACH_p2000,dist_DRACH_p200,PC_1bp,PC_101bp,FC_1bp,FC_101bp,struct_hybridize,struct_loop,HNRNPC_eCLIP,YTHDC1_TREW,YTHDF1_TREW,YTHDF2_TREW,miR_targeted_genes,TargetScan,Verified_miRtargets,METTL3_TREW,METTL14_TREW,WTAP_TREW,METTL16_CLIP,ALKBH5_PARCLIP,FTO_CLIP,FTO_eCLIP,sncRNA,lncRNA,isoform_num,exon_num,HK_genes,GC_cont_genes,GC_cont_101bp,GC_cont_101bp_abs
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.198932723,-0.556106878,0.755030722,0.070951193,-1.297120604,-0.865828359,0,0,-0.340966976,-0.53504822,-0.478660397,-1.521714357,-0.484992444,-1.103337868,-1.018192387,-0.211301753,-0.249642178,-1.050876398,-1.037721468,0.693474617,0.838964302,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.969254004,0.079560348,FALSE,2.412005378,3.317267615,3.317267615
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.198932723,-0.556106878,1.008870683,0.900217562,-1.446236301,-0.705335571,0,0,-0.340966976,-0.53504822,-0.478660397,-1.521714357,-0.484992444,-1.002123888,-1.494603439,-0.373054024,-0.448043065,1.047116961,-0.742652295,0.693474617,0.838964302,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.969254004,0.079560348,FALSE,2.412005378,1.914821961,1.914821961
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,-0.198932723,-0.556106878,2.155179717,-0.491130559,0.731326262,-0.918052203,0,0,-0.340966976,-0.53504822,-0.478660397,-1.521714357,-0.484992444,-1.305765828,-1.018192387,-0.081899936,-0.090921468,-1.050876398,-0.5551317,0.609790373,0.705628341,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.969254004,0.079560348,FALSE,2.412005378,1.739516254,1.739516254
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,-0.198932723,0.363395728,-0.699512551,0.382819561,0.731326262,-0.690050543,-1.065836271,0,0,-0.53504822,-0.478660397,-1.535897394,-0.481852166,-1.508193789,-0.541781334,-0.049549482,-0.051241291,-1.050876398,-1.120451142,-0.729157533,-0.818999402,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.969254004,0.079560348,FALSE,2.412005378,-0.890069348,0.890069348
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
